ID,Total Testnet Rewards,Total Mined Blocks,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzmg1qhH59h5CgCT9JHDbJbDt7XSVoY9kdgkHYJrsYxxjkArk,1250012056395604,127,"219,710",11.27,"2,850.73",0.45%,0.00,,
qzjmpXSbCoUBcuEDaEK79tDcB44jghY2NZQTAgSmgEpUWvYzH,1240000000000000,124,"219,834",11.14,"2,861.87",0.45%,0.00,,
qzkz8Hs7HoaB5qM2bCjrU17AR9SVn27wAZsAd5dpC3gWy1djx,1150000000000000,115,"219,949",10.72,"2,872.59",0.43%,0.00,,
qzozTFK9guP1EUCkYnJCS2C4XHJHSrEVY4WxpoBUTKHBGpzEF,1150000000000000,115,"220,064",10.72,"2,883.31",0.43%,0.00,,
qznMAKy1imKixFjJrLYgPAHUqEGzmuwSTDmaVRpnF2usvEwQv,1110000000000000,111,"220,175",10.54,"2,893.85",0.42%,0.00,,
qzkgUmAJ2nJYvinnLhyXWsSzDC1yhmzm9sGoQduNdnXhVvvB5,1100000000000000,110,"220,285",10.49,"2,904.34",0.42%,0.00,,
qzoSPiicYPizQYKvEJ37Gn2FajWFH1yoMTzccCZVvod1c8isv,1070000000000000,107,"220,392",10.34,"2,914.68",0.42%,0.00,,
qzpj3m5o4AseZA9QY5XmNqcuDpUfgkVrETQWs9P93bhQ5zsnS,1040000000000000,104,"220,496",10.20,"2,924.88",0.41%,0.00,,
qzjx4SHvfvHvC1CL2om1HFm5f7kFweRKpGCaEcWw4Px4phaSE,820000000000000,82,"220,578",9.06,"2,933.93",0.36%,0.00,,
qzmr82yTMQTcVbUtJj9fEfFUi3oCVsBjXc8tuThDV1DdFKaXw,630010667250309,64,"220,642",8.00,"2,941.93",0.32%,0.00,,
qznx4px2UTMrKYfg1BHAE6Y9jgh4nuujz7mLMA4V9FzKViZ19,400000000000000,40,"220,682",6.32,"2,948.26",0.25%,0.00,,
qzoSiFZtJSBu55p4kFZNsyAntA5o8QZgi8xyZUFmdws9Nhd7t,320010667250309,33,"220,715",5.74,"2,954.00",0.23%,0.00,,
qzpL6PmovJaHb6h6vbpQawEjf18o1X6gMVCqMZkBzALgyQvue,240000000000000,24,"220,739",4.90,"2,958.90",0.20%,0.00,,
qznd1YWbgQrviV76psu5n8d24mHSuHtAc9JmJLB42gTELksvQ,130000000000000,13,"220,752",3.61,"2,962.51",0.15%,0.00,,
qzq5Ui4a7zSeFhNTmixuYBkUDC8oRQAN12fysXXK92LTzksHF,110000000000000,11,"220,763",3.32,"2,965.82",0.13%,0.00,,
qzmkhojzgAyXu28fRGCwNvZExbYTTrGAUAsjPYAKaasjQGs9S,80000000000000,8,"220,771",2.83,"2,968.65",0.11%,0.00,,
qzpBGycREoVSFyopdsH6n2XAaVyKvZTBkSf3c9AGnJhwQ5YUb,60000000000000,6,"220,777",2.45,"2,971.10",0.10%,0.00,,
qzoAovtRCni4t3PwgnjmiBm5hfYEui5jQ5cxWBVB2xnBLiHbt,40000000000000,4,"220,781",2.00,"2,973.10",0.08%,0.00,,
qzp7coYcyvNNrt7BiqhyD61ubcxoHBKtsC688zz7Hmotuetuw,20000000000000,2,"220,783",1.41,"2,974.52",0.06%,0.00,,
,,"220,783",,469.88,"3,444.39",,,,
