Address,Total Rewards,Blocks mined,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzjaRu9aYYktAg99brEpAfVd2CLeLrPnTESfes4jfvwPd12um,,54,"956,276",7.35,"8,435.41",0.09%,0.00,,
qzmJZfma5ZAkBD9PLBSpBVi8WYpdzvhpJzsGoHH9Jq3PzZLFJ,,54,"956,330",7.35,"8,442.76",0.09%,0.00,,
qzpWtmSg6C63cxhwC7ddxVpkmeCFRmXb85ZHFFXqV2e9B1ENq,,53,"956,383",7.28,"8,450.04",0.09%,0.00,,
qzoSismfMrpcoyDCPRwFrvo6sAFC5nHFSixgPd45swjN1xzkc,,51,"956,434",7.14,"8,457.18",0.09%,0.00,,
qzoxLXW767UZJNs52YezTgCNYy8nNMZ4fT1c6FPjDbeV3FucF,,49,"956,483",7.00,"8,464.18",0.09%,0.00,,
qzptLC9Aqb8g93Ap1G4phuzvTSYX9uLcY5eUfPrMRK2jeQq4r,,44,"956,527",6.63,"8,470.81",0.08%,0.00,,
qzkvBYvP2xJBnghVx7kfSdKAcn3Ugji4A8DwQ9GDrd9u2ukKZ,,37,"956,564",6.08,"8,476.90",0.08%,0.00,,
qzmezXnGAqfFMxVVSP9mQLDQ9iVfFCbhVHfcDLgeEfdqD2BWH,,36,"956,600",6.00,"8,482.90",0.07%,0.00,,
qzn2Fz86yYmoMYQ5PQs2GW862874Z8UAwSJJcT91CaxByPJsX,,35,"956,635",5.92,"8,488.81",0.07%,0.00,,
qzjqhCKahhXRpLuzBefjT57m6C33CPfJcBtizDFk76vgcAKFv,,33,"956,668",5.74,"8,494.56",0.07%,0.00,,
qzjcjgUJpc7AdJyE4JFJCvsWUp2cjoNYjL6Aov52NqV5CmuFE,,32,"956,700",5.66,"8,500.21",0.07%,0.00,,
qzoo2z1erAV6UrWvstEYSL5aeTcFH9XK5fk9JyHa8WXt5gF7z,,32,"956,732",5.66,"8,505.87",0.07%,0.00,,
qznaQrd9qQcaUYo53HNMvr3KzGhWk4VWh3WPs8HDuFLQ3goK3,,31,"956,763",5.57,"8,511.44",0.07%,0.00,,
qzpyGemzsZvXRihgZg1uAGqnQLXBsy213WQGBLDD17hKJ3zpM,,28,"956,791",5.29,"8,516.73",0.07%,0.00,,
qzosnG6CiepSxanKYe2jKHoj5DEqkGyXbghYaWKxznTqhWQax,,27,"956,818",5.20,"8,521.93",0.06%,0.00,,
qzpqHg6mJ89HkcmoKYmWNfAX5GhNZW1PfqaApJ9cTryKzxW5M,,27,"956,845",5.20,"8,527.12",0.06%,0.00,,
qzjtdBwdhUVKtJVi2hatJ3H6XCuEmNxkYCKem5k8se64mz3mE,,26,"956,871",5.10,"8,532.22",0.06%,0.00,,
qzocCRD4qnkNXDw44jh46Daw6s76z8PXiwAZvY7Uddc8aKFDr,,24,"956,895",4.90,"8,537.12",0.06%,0.00,,
qzmvZ2HK6bEhBpfBhp6hoF9kFJuzWcTzha8UEdsFsXFS7GBHK,,23,"956,918",4.80,"8,541.92",0.06%,0.00,,
